season,event,start_at,end_at,nikke_name,company,type,burst,code,weapon,banner
0.5주년,OVER ZONE,2023-04-27 00:00:00+09:00,2023-05-18 00:00:00+09:00,도로시,필그림,지원형,1,수냉,AR,
바니걸,Bunny × 777,2023-05-18 00:00:00+09:00,2023-06-01 00:00:00+09:00,블랑,테트라,방어형,2,풍압,AR,
바니걸,Bunny × 777,2023-05-25 00:00:00+09:00,2023-06-08 00:00:00+09:00,누아르,테트라,화력형,3,풍압,SG,
일반,QUEEN'S ORDER,2023-06-01 00:00:00+09:00,2023-06-15 00:00:00+09:00,로산나,테트라,화력형,1,전격,MG,
여름,BLUEWATER ISLAND,2023-06-15 00:00:00+09:00,2023-07-06 00:00:00+09:00,메어리 : 베이 갓데스,테트라,지원형,1,수냉,SR,
여름,BLUEWATER ISLAND,2023-06-22 00:00:00+09:00,2023-07-13 00:00:00+09:00,네온 : 블루 오션,엘리시온,화력형,3,수냉,MG,
일반,NYA NYA Paradise,2023-07-06 00:00:00+09:00,2023-07-20 00:00:00+09:00,네로,테트라,방어형,2,작열,SMG,
일반,GOLDEN SHIP,2023-07-20 00:00:00+09:00,2023-08-03 00:00:00+09:00,마스트,엘리시온,지원형,2,전격,SMG,
여름,"SEA, YOU, AGAIN",2023-08-03 00:00:00+09:00,2023-08-24 00:00:00+09:00,아니스 : 스파클링 서머,테트라,지원형,3,전격,SG,
여름,"SEA, YOU, AGAIN",2023-08-10 00:00:00+09:00,2023-08-31 00:00:00+09:00,헬름 : 아쿠아마린,엘리시온,화력형,2,철갑,AR,
콜라보,OuteR:Automata,2023-09-01 00:00:00+09:00,2023-09-28 00:00:00+09:00,2B,어브노말,방어형,3,작열,AR,
콜라보,OuteR:Automata,2023-09-08 00:00:00+09:00,2023-09-28 00:00:00+09:00,A2,어브노말,화력형,3,작열,RL,
일반,SCHOOL OF LOCK,2023-09-21 00:00:00+09:00,2023-10-05 00:00:00+09:00,마르차나,엘리시온,지원형,2,철갑,SG,
일반,DAZZLING CUPID,2023-10-05 00:00:00+09:00,2023-10-19 00:00:00+09:00,나가,미실리스,지원형,2,전격,SG,
일반,DAZZLING CUPID,2023-10-12 00:00:00+09:00,2023-10-26 00:00:00+09:00,티아,미실리스,방어형,1,철갑,RL,
일반,A.C.P.U.! FREEZE!,2023-10-10 00:00:00+09:00,2023-11-01 00:00:00+09:00,키리,엘리시온,지원형,3,풍압,SR,
1주년,RED ASH,2023-11-02 00:00:00+09:00,2023-11-23 00:00:00+09:00,레드 후드,필그림,화력형,Λ,철갑,SR,
일반,ALONE SURVIVOR,2023-11-23 00:00:00+09:00,2023-12-07 00:00:00+09:00,토브,미실리스,지원형,1,수냉,AR,
크리스마스,NEVERLAND,2023-12-07 00:00:00+09:00,2023-12-28 00:00:00+09:00,루드밀라 : 윈터 오너,테트라,화력형,3,수냉,MG,
크리스마스,NEVERLAND,2023-12-07 00:00:00+09:00,2023-12-31 00:00:00+09:00,루피 : 윈터 쇼퍼,,,,,,
크리스마스,NEVERLAND,2023-12-07 00:00:00+09:00,2023-12-31 00:00:00+09:00,앤 : 미라클 페어리,,,,,,
크리스마스,NEVERLAND,2023-12-14 00:00:00+09:00,2023-12-31 00:00:00+09:00,미카 : 스노우 버디,테트라,지원형,1,철갑,SMG,
신년,"NEW YEAR, NEW SWORD",2024-01-01 00:00:00+09:00,2024-01-18 00:00:00+09:00,홍련 : 흑영,필그림,화력형,3,풍압,RL,
신년,"NEW YEAR, NEW SWORD",2024-01-01 00:00:00+09:00,2024-01-18 00:00:00+09:00,모더니아,,,,,,
일반,LION HEART,2024-01-11 00:00:00+09:00,2024-01-25 00:00:00+09:00,레오나,테트라,지원형,2,수냉,SG,
일반,DIRTY BACKYARD,2024-01-25 00:00:00+09:00,2024-02-08 00:00:00+09:00,목단,테트라,방어형,1,전격,AR,
메이드,PERFECT MAID,2024-02-05 00:00:00+09:00,2024-02-22 00:00:00+09:00,프리바티 : 언카인드 메이드,엘리시온,화력형,3,전격,SG,
메이드,PERFECT MAID,2024-02-15 00:00:00+09:00,2024-02-29 00:00:00+09:00,에이드,테트라,지원형,2,풍압,AR,
일반,BOOMS DAY,2024-02-22 00:00:00+09:00,2024-03-06 00:00:00+09:00,일레그,미실리스,지원형,2,전격,MG,
일반,KILL THE LORD,2024-03-07 00:00:00+09:00,2024-03-20 00:00:00+09:00,D : 킬러 와이프,엘리시온,지원형,1,작열,SR,
콜라보,Re: CIPE FOR YOU,2024-03-21 00:00:00+09:00,2024-04-11 00:00:00+09:00,에밀리아,어브노말,화력형,3,수냉,RL,
콜라보,Re: CIPE FOR YOU,2024-03-28 00:00:00+09:00,2024-04-11 00:00:00+09:00,렘,어브노말,지원형,2,수냉,MG,
일반,ONE MORE TIME,2024-04-11 00:00:00+09:00,2024-04-24 00:00:00+09:00,베이,테트라,방어형,2,작열,RL,
1.5주년,LAST KINGDOM,2024-04-25 00:00:00+09:00,2024-05-16 00:00:00+09:00,크라운,필그림,방어형,2,철갑,MG,
일반,D.ARK HERO,2024-05-16 00:00:00+09:00,2024-05-30 00:00:00+09:00,트로니,미실리스,화력형,3,작열,SR,
바니걸,GOLDEN COIN RUSH,2024-05-30 00:00:00+09:00,2024-06-20 00:00:00+09:00,소다 : 트윙클링 바니,테트라,화력형,3,철갑,SG,
바니걸,GOLDEN COIN RUSH,2024-06-06 00:00:00+09:00,2024-06-27 00:00:00+09:00,앨리스 : 원더랜드 바니,테트라,지원형,1,수냉,SMG,
일반,"CLAY, MORE!",2024-06-20 00:00:00+09:00,2024-07-03 00:00:00+09:00,클레이,테트라,지원형,2,전격,SMG,
여름,BEAUTY FULL SHOT,2024-07-04 00:00:00+09:00,2024-07-25 00:00:00+09:00,사쿠라 : 블룸 인 서머,테트라,화력형,3,풍압,AR,
여름,BEAUTY FULL SHOT,2024-07-11 00:00:00+09:00,2024-08-01 00:00:00+09:00,로산나 : 시크 오션,테트라,지원형,2,풍압,AR,
여름,BEAUTY FULL SHOT,2024-07-04 00:00:00+09:00,2024-07-25 00:00:00+09:00,메어리 : 베이 갓데스,,,,,,
여름,BEAUTY FULL SHOT,2024-07-04 00:00:00+09:00,2024-07-25 00:00:00+09:00,네온 : 블루 오션,,,,,,
여름,BEAUTY FULL SHOT,2024-07-25 00:00:00+09:00,2024-08-15 00:00:00+09:00,아니스 : 스파클링 서머,,,,,,
여름,BEAUTY FULL SHOT,2024-07-25 00:00:00+09:00,2024-08-15 00:00:00+09:00,헬름 : 아쿠아마린,,,,,,
일반,JUVENILE DAYS,2024-07-25 00:00:00+09:00,2024-08-08 00:00:00+09:00,아인,미실리스,화력형,3,전격,SR,
일반,COLORLESS,2024-08-08 00:00:00+09:00,2024-08-21 00:00:00+09:00,츠바이,엘리시온,지원형,1,전격,SG,
콜라보,YOU CAN (NOT) EVADE,2024-08-22 00:00:00+09:00,2024-09-19 00:00:00+09:00,시키나미 아스카 랑그레이,어브노말,화력형,3,작열,AR,
콜라보,YOU CAN (NOT) EVADE,2024-08-29 00:00:00+09:00,2024-09-19 00:00:00+09:00,아야나미 레이,어브노말,화력형,3,작열,MG,
콜라보,YOU CAN (NOT) EVADE,2024-09-05 00:00:00+09:00,2024-09-19 00:00:00+09:00,마키나미 마리 일러스트리어스,어브노말,지원형,2,전격,SR,
일반,JINX PLAYER,2024-09-19 00:00:00+09:00,2024-10-03 00:00:00+09:00,루주,테트라,지원형,1,전격,SR,
일반,PHANTOM THIEF VS DETECTIVE,2024-10-03 00:00:00+09:00,2024-10-17 00:00:00+09:00,퀀시 : 이스케이프 퀸,미실리스,화력형,3,수냉,SMG,
일반,PHANTOM THIEF VS DETECTIVE,2024-10-10 00:00:00+09:00,2024-10-24 00:00:00+09:00,팬텀,엘리시온,화력형,3,수냉,AR,
일반,LIFE AGAIN,2024-10-17 00:00:00+09:00,2024-10-30 00:00:00+09:00,루마니,테트라,방어형,1,작열,SR,
2주년,OLD TALES,2024-10-31 00:00:00+09:00,2024-11-21 00:00:00+09:00,신데렐라,필그림,방어형,3,전격,RL,
2주년,OLD TALES,2024-11-07 00:00:00+09:00,2024-11-28 00:00:00+09:00,그레이브,필그림,지원형,2,작열,AR,
일반,SECRET GARDEN,2024-11-21 00:00:00+09:00,2024-12-05 00:00:00+09:00,플로라,미실리스,지원형,2,전격,MG,
크리스마스,ICE DRAGON SAGA,2024-12-05 00:00:00+09:00,2024-12-26 00:00:00+09:00,메이든 : 아이스 로즈,엘리시온,방어형,3,전격,RL,
크리스마스,ICE DRAGON SAGA,2024-12-12 00:00:00+09:00,2024-12-31 00:00:00+09:00,길로틴 : 윈터 슬레이어,엘리시온,화력형,3,수냉,AR,
크리스마스,ICE DRAGON SAGA,2024-12-05 00:00:00+09:00,2024-12-26 00:00:00+09:00,루드밀라 : 윈터 오너,,,,,,
크리스마스,ICE DRAGON SAGA,2024-12-05 00:00:00+09:00,2024-12-26 00:00:00+09:00,미카 : 스노우 버디,,,,,,
신년,"FOOTSTEP, WALK, RUN",2025-01-01 00:00:00+09:00,2025-01-23 00:00:00+09:00,라피 : 레드 후드,엘리시온,화력형,3,작열,MG,
신년,"FOOTSTEP, WALK, RUN",2025-01-01 00:00:00+09:00,2025-01-23 00:00:00+09:00,홍련 : 흑영,,,,,,
일반,WISDOM SPRING,2025-01-16 00:00:00+09:00,2025-01-30 00:00:00+09:00,마나,미실리스,화력형,3,풍압,AR,
메이드,ROMANTIC VALENTINE,2025-01-30 00:00:00+09:00,2025-02-19 00:00:00+09:00,마스트 : 로망틱 메이드,엘리시온,지원형,2,수냉,MG,
메이드,ROMANTIC VALENTINE,2025-02-06 00:00:00+09:00,2025-02-27 00:00:00+09:00,앵커 : 이노센트 메이드,엘리시온,지원형,2,수냉,RL,
콜라보,SECOND QUEST,2025-02-20 00:00:00+09:00,2025-03-13 00:00:00+09:00,시키나미 아스카 랑그레이 : WILLE,어브노말,화력형,3,풍압,MG,
콜라보,SECOND QUEST,2025-02-20 00:00:00+09:00,2025-03-13 00:00:00+09:00,시키나미 아스카 랑그레이,,,,,,
콜라보,SECOND QUEST,2025-02-27 00:00:00+09:00,2025-03-13 00:00:00+09:00,아야나미 레이 (가칭),어브노말,화력형,3,풍압,AR,
콜라보,SECOND QUEST,2025-02-27 00:00:00+09:00,2025-03-13 00:00:00+09:00,아야나미 레이,,,,,,
콜라보,SECOND QUEST,2025-02-27 00:00:00+09:00,2025-03-13 00:00:00+09:00,마키나미 마리 일러스트리어스,,,,,,
일반,FOR REST,2025-03-13 00:00:00+09:00,2025-03-27 00:00:00+09:00,트리나,미실리스,지원형,2,전격,RL,
일반,NEW FLAVOR,2025-03-27 00:00:00+09:00,2025-04-10 00:00:00+09:00,브래디,테트라,화력형,3,수냉,SR,
일반,TRUE FLAVOR,2025-04-10 00:00:00+09:00,2025-04-23 00:00:00+09:00,크러스트,테트라,지원형,2,수냉,RL,
2.5주년,UNBREAKABLE SPHERE,2025-04-24 00:00:00+09:00,2025-05-15 00:00:00+09:00,리틀 머메이드,필그림,지원형,1,풍압,SMG,
2.5주년,UNBREAKABLE SPHERE,2025-05-01 00:00:00+09:00,2025-05-22 00:00:00+09:00,미하라 : 본딩 체인,미실리스,화력형,3,작열,MG,
일반,ARCANE ARCHIVE,2025-05-15 00:00:00+09:00,2025-05-29 00:00:00+09:00,아르카나,엘리시온,지원형,2,전격,RL,
일반,"LORD, FOR JUSTICE",2025-05-29 00:00:00+09:00,2025-06-11 00:00:00+09:00,K,엘리시온,화력형,3,전격,SMG,
콜라보,MEMORIES TELLER,2025-06-12 00:00:00+09:00,2025-07-10 00:00:00+09:00,이브,어브노말,화력형,3,철갑,AR,
콜라보,MEMORIES TELLER,2025-06-19 00:00:00+09:00,2025-07-10 00:00:00+09:00,레이븐,어브노말,화력형,3,철갑,RL,
일반,OVER THE HORIZON,2025-07-03 00:00:00+09:00,2025-07-17 00:00:00+09:00,소라,엘리시온,지원형,1,풍압,RL,
콜라보,OuteR:Automata,2025-07-03 00:00:00+09:00,2025-07-31 00:00:00+09:00,2B,,,,,,
콜라보,OuteR:Automata,2025-07-10 00:00:00+09:00,2025-07-31 00:00:00+09:00,A2,,,,,,
여름,BOOM! THE GHOST!,2025-07-17 00:00:00+09:00,2025-08-07 00:00:00+09:00,도로시 : 세렌디피티,필그림,화력형,3,수냉,SG,
여름,BOOM! THE GHOST!,2025-07-24 00:00:00+09:00,2025-08-14 00:00:00+09:00,일레그 : 붐 앤 쇼크,미실리스,화력형,3,수냉,MG,
여름,BOOM! THE GHOST!,2025-07-24 00:00:00+09:00,2025-08-14 00:00:00+09:00,사쿠라 : 블룸 인 서머,,,,,,
여름,BOOM! THE GHOST!,2025-07-31 00:00:00+09:00,2025-08-21 00:00:00+09:00,로산나 : 시크 오션,,,,,,
일반,ABSOLUTE,2025-08-07 00:00:00+09:00,2025-09-04 00:00:00+09:00,엠마 : 택티컬 업,엘리시온,지원형,1,작열,MG,
일반,ABSOLUTE,2025-08-14 00:00:00+09:00,2025-09-04 00:00:00+09:00,은화 : 택티컬 업,엘리시온,화력형,2,작열,SR,
일반,ABSOLUTE,2025-08-21 00:00:00+09:00,2025-09-11 00:00:00+09:00,베스티 : 택티컬 업,엘리시온,화력형,3,작열,RL,
바니걸,COINS IN RUSH,2025-09-04 00:00:00+09:00,2025-09-23 00:00:00+09:00,에이드 : 에이전트 바니,테트라,지원형,2,철갑,SR,
바니걸,COINS IN RUSH,2025-09-11 00:00:00+09:00,2025-10-02 00:00:00+09:00,밀크 : 블루밍 바니,테트라,화력형,3,철갑,SR,
여름,COINS IN RUSH,2025-09-04 00:00:00+09:00,2025-09-25 00:00:00+09:00,메어리 : 베이 갓데스,,,,,,
여름,COINS IN RUSH,2025-09-04 00:00:00+09:00,2025-09-25 00:00:00+09:00,네온 : 블루 오션,,,,,,
여름,COINS IN RUSH,2025-09-04 00:00:00+09:00,2025-09-25 00:00:00+09:00,아니스 : 스파클링 서머,,,,,,
여름,COINS IN RUSH,2025-09-04 00:00:00+09:00,2025-09-25 00:00:00+09:00,헬름 : 아쿠아마린,,,,,,
크리스마스,COINS IN RUSH,2025-09-04 00:00:00+09:00,2025-09-25 00:00:00+09:00,루피 : 윈터 쇼퍼,,,,,,
크리스마스,COINS IN RUSH,2025-09-04 00:00:00+09:00,2025-09-25 00:00:00+09:00,앤 : 미라클 페어리,,,,,,
콜라보,REBORN EVIL,2025-09-24 00:00:00+09:00,2025-10-21 00:00:00+09:00,에이다 웡,어브노말,화력형,3,전격,RL,
콜라보,REBORN EVIL,2025-10-02 00:00:00+09:00,2025-10-21 00:00:00+09:00,질 발렌타인,어브노말,화력형,3,전격,AR,
일반,GO! NINJA THIEF!,2025-10-16 00:00:00+09:00,2025-10-29 00:00:00+09:00,델타 : 닌자 시프,엘리시온,방어형,2,수냉,MG,
3주년,GODDESS FALL,2025-10-30 00:00:00+09:00,2025-11-20 00:00:00+09:00,나유타,필그림,지원형,2,풍압,SMG,
3주년,GODDESS FALL,2025-11-06 00:00:00+09:00,2025-11-27 00:00:00+09:00,리버렐리오,필그림,화력형,3,풍압,SR,
3주년,GODDESS FALL,2025-10-30 00:00:00+09:00,2025-11-20 00:00:00+09:00,모더니아,,,,,,
3주년,GODDESS FALL,2025-10-30 00:00:00+09:00,2025-11-20 00:00:00+09:00,레드 후드,,,,,,
3주년,GODDESS FALL,2025-10-30 00:00:00+09:00,2025-11-20 00:00:00+09:00,도로시,,,,,,
일반,BLANK TICKET,2025-11-20 00:00:00+09:00,2025-12-04 00:00:00+09:00,솔린 : 프로스트 티켓,엘리시온,지원형,1,수냉,SG,
크리스마스,TERMINUS TICKET,2025-12-04 00:00:00+09:00,2025-12-25 00:00:00+09:00,디젤 : 윈터 스위츠,엘리시온,화력형,3,작열,RL,
크리스마스,TERMINUS TICKET,2025-12-11 00:00:00+09:00,2025-12-31 00:00:00+09:00,브리드 : 사일런트 트랙,엘리시온,지원형,2,작열,SG,
크리스마스,TERMINUS TICKET,2025-12-04 00:00:00+09:00,2025-12-25 00:00:00+09:00,메이든 : 아이스 로즈,,,,,,
크리스마스,TERMINUS TICKET,2025-12-04 00:00:00+09:00,2025-12-25 00:00:00+09:00,길로틴 : 윈터 슬레이어,,,,,,
신년,ARK GUARDIAN,2026-01-01 00:00:00+09:00,2026-01-22 00:00:00+09:00,라피 : 레드 후드,,,,,,
신년,ARK GUARDIAN,2026-01-01 00:00:00+09:00,2026-01-22 00:00:00+09:00,스노우 화이트 : 헤비암즈,필그림,화력형,3,수냉,SR,
일반,SIN EDITOR,2026-01-15 00:00:00+09:00,2026-01-29 00:00:00+09:00,레이블,엘리시온,방어형,1,철갑,AR,
메이드,FATAL MAID,2026-01-29 00:00:00+09:00,2026-02-11 00:00:00+09:00,벨벳,테트라,지원형,2,풍압,SR,
콜라보,Lie cause Recoil,2026-02-12 00:00:00+09:00,2026-03-12 00:00:00+09:00,니시키기 치사토,어브노말,화력형,3,철갑,SMG,
콜라보,Lie cause Recoil,2026-02-19 00:00:00+09:00,2026-03-12 00:00:00+09:00,이노우에 타키나,어브노말,지원형,2,철갑,SR,
일반,ENTER HEAVEN,2026-03-05 00:00:00+09:00,2026-03-19 00:00:00+09:00,E.H.,엘리시온,화력형,3,풍압,SMG,
일반,2X2 LOVE,2026-03-19 00:00:00+09:00,2026-04-09 00:00:00+09:00,아르카나 : 포츈 메이트,엘리시온,화력형,2,작열,SG,
일반,GOOD WORLD,2026-04-09 00:00:00+09:00,2026-04-22 00:00:00+09:00,백학,미실리스,방어형,2,수냉,SR,
3.5주년,STAR ANIS,2026-04-23 00:00:00+09:00,2026-05-14 00:00:00+09:00,아니스 : 스타,테트라,방어형,1,전격,RL,https://nng-phinf.pstatic.net/MjAyNjA0MjBfMjUz/MDAxNzc2NjY4NTMzOTU5.fE6odBywXW-LuRurBZA9B14WxYpfA445KZcztvJmzVQg.CpNsph2b8iWKk1lXrDQnO5ZAxmZSEIfiPTxa5yiqbhAg.JPEG/3._%EC%95%84%EB%8B%88%EC%8A%A4_%EC%8A%A4%ED%83%80_%ED%94%BD%EC%97%85_%EC%95%88%EB%82%B4_%EB%B0%B0%EB%84%88.jpg?type=w1678
3.5주년,STAR ANIS,2026-04-30 00:00:00+09:00,2026-05-21 00:00:00+09:00,네온 : 비전 아이,미실리스,화력형,3,전격,RL,https://nng-phinf.pstatic.net/MjAyNjA0MjBfMTU2/MDAxNzc2NjY4NTUyOTMw.OO4yIpFaiaahDZ-XOpLlg8rHqlCr6gw7RbG6_akYMPsg.jdqv1nq3B1kf6EpoCwSKikQNq6XXM8nvyUjlGQpP6xsg.JPEG/11._%EB%84%A4%EC%98%A8_%EB%B9%84%EC%A0%84_%EC%95%84%EC%9D%B4_%ED%94%BD%EC%97%85_%EC%95%88%EB%82%B4_%EB%B0%B0%EB%84%88.jpg?type=w1678
콜라보,MEMORIES TELLER,2026-05-14 00:00:00+09:00,2026-06-11 00:00:00+09:00,이브,,,,,,
콜라보,MEMORIES TELLER,2026-05-21 00:00:00+09:00,2026-06-11 00:00:00+09:00,레이븐,,,,,,
일반,B-SIDE IDOL,2026-05-14 00:00:00+09:00,2026-06-04 00:00:00+09:00,민트,테트라,지원형,2,철갑,RL,https://nng-phinf.pstatic.net/MjAyNjA1MTFfMTAw/MDAxNzc4NDc1NjcyNTQ1.0FKgdAY2bo9CRlw40xby0LrrAwLjCSK3rkLinlJRmCcg.rGgc1Lee_G3VPQhS4g4O5Kcr7F_xUJgJqI7wJhBs0Mgg.JPEG/NK260508_%EC%8B%A0%EA%B7%9C_%EB%8B%88%EC%BC%80_%ED%94%BD%EC%97%85_%EB%AF%BC%ED%8A%B8.jpg?type=w1678
일반,BITTER SPICE,2026-05-28 00:00:00+09:00,2026-06-11 00:00:00+09:00,프리카,테트라,지원형,2,수냉,SR,https://nng-phinf.pstatic.net/MjAyNjA1MjVfMTQy/MDAxNzc5NjczNTY5MjA1.vvQwgXrMgap8gITkhAQp69CyNRGM8AHN3O5Td7y57Oog.gKEmqGFhXrI1FdLIyZzJxgdJadQYqhIYj-jJKl7Mbwog.JPEG/NK260524_%EC%8B%A0%EA%B7%9C_%EB%8B%88%EC%BC%80_%ED%94%BD%EC%97%85_%ED%94%84%EB%A6%AC%EC%B9%B4.jpg?type=w1678
일반,ARK RANGER,2026-06-11 00:00:00+09:00,2026-07-02 00:00:00+09:00,아크레인저 블랙,테트라,화력형,3,풍압,AR,https://nng-phinf.pstatic.net/MjAyNjA2MDhfMjg5/MDAxNzgwODk5MTkyMzM5.o2tOoPNM2Bg-EZ8zpM8ECuTePEYS1_0wMTVCnKZiymAg.dowz9Z9Tu7pdzSi0Wlfo90xL6S5jqFXuMSIbcCZmsX4g.JPEG/NK260608_%EC%8B%A0%EA%B7%9C_%EB%8B%88%EC%BC%80_%ED%94%BD%EC%97%85_%EC%95%84%ED%81%AC%EB%A0%88%EC%9D%B8%EC%A0%80_%EB%B8%94%EB%9E%99_V2.jpg?type=w1678
여름,ARK RANGER,2026-06-11 00:00:00+09:00,2026-07-02 00:00:00+09:00,아니스 : 스파클링 서머,,,,,,
여름,ARK RANGER,2026-06-11 00:00:00+09:00,2026-07-02 00:00:00+09:00,헬름 : 아쿠아마린,,,,,,
여름,ARK RANGER,2026-06-11 00:00:00+09:00,2026-07-02 00:00:00+09:00,메어리 : 베이 갓데스,,,,,,
여름,ARK RANGER,2026-06-11 00:00:00+09:00,2026-07-02 00:00:00+09:00,네온 : 블루 오션,,,,,,
여름,ARK RANGER,2026-06-11 00:00:00+09:00,2026-07-02 00:00:00+09:00,사쿠라 : 블룸 인 서머,,,,,,
여름,ARK RANGER,2026-06-11 00:00:00+09:00,2026-07-02 00:00:00+09:00,로산나 : 시크 오션,,,,,,
여름,WAVE TO YOU,2026-07-02 00:00:00+09:00,2026-07-23 00:00:00+09:00,신데렐라 : 크리스탈 웨이브,필그림,화력형,3,철갑,MG,https://nng-phinf.pstatic.net/MjAyNjA2MjdfMjQ4/MDAxNzgyNTQ4MjE5Mjk1.I0TSV9xNRhnjwB2ntO0CxlIAM79CibrtZezgL6eAfkEg.3Ue1hP5UXY1ldVNguf-G9aj2VYgb8LIYrlqq87MqAhog.JPEG/3._%EC%8B%A0%EB%8D%B0%EB%A0%90%EB%9D%BC-%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%83%88_%EC%9B%A8%EC%9D%B4%EB%B8%8C_%ED%94%BD%EC%97%85_%EC%98%88%EA%B3%A0.jpg?type=w1678
여름,WAVE TO YOU,2026-07-09 00:00:00+09:00,2026-07-30 00:00:00+09:00,마르차나 : 마린 스터디,엘리시온,화력형,3,철갑,AR,https://nng-phinf.pstatic.net/MjAyNjA2MjdfMjYx/MDAxNzgyNTQ3ODgxODgx.hH-40jfAdWPtN-fNCBdFyri99pRxA4zOcmYnhML1nXog.8GuJ10L0iflyGGYFnYSVxEM586jkXgEPU2ehHLKT9vcg.JPEG/2._%EB%A7%88%EB%A5%B4%EC%B0%A8%EB%82%98-%EB%A7%88%EB%A6%B0_%EC%8A%A4%ED%84%B0%EB%94%94_%ED%94%BD%EC%97%85_%EC%98%88%EA%B3%A0.jpg?type=w1678
여름,WAVE TO YOU,2026-07-02 00:00:00+09:00,2026-07-23 00:00:00+09:00,도로시 : 세렌디피티,,,,,,
여름,WAVE TO YOU,2026-07-09 00:00:00+09:00,2026-07-30 00:00:00+09:00,일레그 : 붐 앤 쇼크,,,,,,
일반,PROJECT MATIS,2026-07-23 00:00:00+09:00,2026-08-12 00:00:00+09:00,라플라스 : 얼티밋 히어로,미실리스,화력형,3,풍압,RL,https://nng-phinf.pstatic.net/MjAyNjA3MjBfMTcg/MDAxNzg0NTI5NTAzMjI1.a2v98HOnw_2nUcwbOJEAcES0EMwYpKQbYLxf7iCAStMg.fa88oS3wWuwtmfSnKYLFbradNOcWfqWjNHdaS85wQ0sg.JPEG/NK260708_%EC%8B%A0%EA%B7%9C_%EB%8B%88%EC%BC%80_%ED%94%BD%EC%97%85_%EB%9D%BC%ED%94%8C%EB%9D%BC%EC%8A%A4-%EC%96%BC%ED%8B%B0%EB%B0%8B_%ED%9E%88%EC%96%B4%EB%A1%9C.jpg?type=w1678
일반,PROJECT MATIS,2026-07-30 00:00:00+09:00,2026-08-20 00:00:00+09:00,맥스웰 : 오디너리 미케닉,미실리스,지원형,2,풍압,SR,https://nng-phinf.pstatic.net/MjAyNjA3MjBfMTMg/MDAxNzg0NTI5NTg1MzMw.98i-0BMJNB7_DCyRbhv0d6nKKh-y8idmxicphbAStFcg.fZqQmjlF3eh2JwMf7d0kgf5t74vviN14QC8TuyeLbOcg.JPEG/NK260708_%EC%8B%A0%EA%B7%9C_%EB%8B%88%EC%BC%80_%ED%94%BD%EC%97%85_%EB%A7%A5%EC%8A%A4%EC%9B%B0-%EC%98%A4%EB%94%94%EB%84%88%EB%A6%AC_%EB%AF%B8%EC%BC%80%EB%8B%89.jpg?type=w1678
