이름1,소속1,스쿼드1,상태1,등장1,skel1,atlas1,이름2,소속2,스쿼드2,상태2,등장2,skel2,atlas2
에이미,미실리스,미미르 부속고,,2X2 LOVE,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c9026/c9026_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c9026/c9026_00.atlas,,,,,,,
프리티,테트라,,사망,PRETTY STAR,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c9020/c9020_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c9020/c9020_00.atlas,,,,,,,
쥰,테트라,777,,,,,,,,,,,
아크레인저 레드,테트라,여신전대 아크레인저,,ARK RANGER,,,,,,,,,
아크레인저 블루,테트라,여신전대 아크레인저,,ARK RANGER,,,,,,,,,
요요,테트라,,,STAR ANIS,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c9024/c9024_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c9024/c9024_00.atlas,,,,,,,
피노키오,필그림,파이오니아,,40챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c227/c227_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c227/c227_00.atlas,,,,,,,
헨젤,필그림,올드 테일즈,,OLD TALES,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c980/c980_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c980/c980_00.atlas,,,,,,,
그레텔,필그림,올드 테일즈,,OLD TALES,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c981/c981_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c981/c981_00.atlas,,,,,,,
베히모스,필그림,포비스트,,31챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c560/c560_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c560/c560_00.atlas,,,,,,,
레비아탄,필그림,포비스트,,33챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c562/c562_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c562/c562_00.atlas,,,,,,,
지즈,필그림,포비스트,,37챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c561/c561_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c561/c561_00.atlas,,,,,,,
바하무트,필그림,포비스트,,41챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c563/c563_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c563/c563_00.atlas,,,,,,,
온리 원,필그림,포비스트,,42챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c997/c997_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c997/c997_00.atlas,,,,,,,
인디빌리아,필그림,헬레틱,,24챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c263/c263_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c263/c263_00.atlas,,,,,,,
앨트루이아,필그림,헬레틱,,44챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c9017/c9017_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c9017/c9017_00.atlas,,,,,,,
에고비스타,필그림,헬레틱,,46챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c9025/c9025_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c9025/c9025_00.atlas,,,,,,,
레드슈즈,필그림,올드 테일즈,스쿼드빗금,OLD TALES,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c982/c982_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c982/c982_00.atlas,미러,,???,,GODDESS FALL,,
장화,필그림,근접 전투 스쿼드,,"NEW YEAR, NEW SWORD",https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c971/c971_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c971/c971_00.atlas,장화,,???,,GODDESS FALL,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c971_01/c971_01_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c971_01/c971_01_00.atlas
릴리바이스,필그림,갓데스,,RED ASH,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c943/c943_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c943/c943_00.atlas,랩쳐 퀸,,,,GODDESS FALL,,
엔드리스,소속 불명,에닉 제작 니케,,39챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c371/c371_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c371/c371_00.atlas,,,,,,,
이터니티,소속 불명,에닉 제작 니케,,39챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c370/c370_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c370/c370_00.atlas,,,,,,,
로지,소속 불명,,,41챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c482/c482_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c482/c482_00.atlas,,,,,,,
파피용,소속 불명,,,18챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c908/c908_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c908/c908_00.atlas,,,,,44챕터,,
D.E.E.P.,소속 불명,,,"FOOTSTEP, WALK, RUN",https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c991/c991_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c991/c991_00.atlas,,,,,,,
슈엔,미실리스,,,2024 만우절,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c901/c901_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c901/c901_00.atlas,,,,,,,
시프티,중앙 정부,,,2023 만우절,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c907/c907_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c907/c907_00.atlas,,,,,,,
메카 시프티,중앙 정부,,,2025 만우절,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c993/c993_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c993/c993_00.atlas,,,,,,,
메카미 시프티,중앙 정부,,,2026 만우절,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c610/c610_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c610/c610_00.atlas,,,,,,,
화피,중국 서버,요재지이,,중국 서버 한정 니케,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c8005/c8005_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c8005/c8005_00.atlas,,,,,,,
잉닝,중국 서버,요재지이,,중국 서버 한정 니케,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c8004/c8004_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c8004/c8004_00.atlas,,,,,,,
