chapter,stage,normal_power,normal_boss,normal_code,normal_type,hard_power,hard_boss,hard_code,hard_type,story,notes
9,10,17910,,전격,,200920,,전격,,,
9,11,17920,,전격,,200940,,전격,,,
9,12,18500,,전격,,201700,,전격,,○,
9,13,18550,,전격,,201720,,전격,,,
9,14,18570,,전격,,201740,,전격,,,
9,15,18590,,전격,,208700,,전격,,○,일반개체 요격전 LEVEL S 개방
9,16,18650,,전격,,208720,,전격,,,
9,17,18670,,전격,,208740,,전격,,,
9,18,19420,,전격,,209800,,전격,,,
9,19,19430,,전격,,209820,,전격,,,
9,20,19450,,전격,,209840,,전격,,,
9,21,19470,,전격,,210800,,전격,,○,
9,EX스테이지,100레벨 고정,엔젤 링,수냉,EX보스전,255레벨 고정,엔젤 링,수냉,EX보스전,,
9,22,19480,,전격,,210820,,전격,,,
9,23,19500,,전격,,210840,,전격,,,
9,24,20000,,전격,,212800,,전격,,,
9,25,20010,,전격,,212820,,전격,,,
9,26,20030,,전격,,212840,,전격,,,
9,27,20050,닥터,철갑,보스전,222300,닥터,철갑,보스전,○,
10,1,20360,,전격,,222320,,전격,,○,
10,2,21330,,전격,,223400,,전격,,,
10,3,21350,,전격,,223420,,전격,,,
10,4,21360,,전격,,224400,,전격,,○,
10,EX스테이지,100레벨 고정,,작열,EX섬멸전,270레벨 고정,,수냉,EX섬멸전,,
10,5,21380,,전격,,224420,,전격,,,
10,6,21400,,전격,,224440,,전격,,,
10,7,21580,,전격,,225400,,전격,,,
10,8,21600,,전격,,225420,,전격,,,
10,9,21620,,전격,,225440,,전격,,,
10,10,21630,,전격,,227700,,전격,,○,
10,11,21680,,전격,,227720,,전격,,,
10,12,21700,,전격,,227740,,전격,,,
10,13,22000,,전격,,228700,,전격,,,
10,14,22020,,전격,,228720,,전격,,,
10,15,22040,,전격,,228740,,전격,,,
10,16,22050,,전격,,230900,,전격,,○,
10,16A,22070,,전격,섬멸전,,,,,,노말 스테이지
10,16B,22090,,전격,섬멸전,,,,,,노말 스테이지
10,16A-1,,,,,230920,,전격,섬멸전,,하드 스테이지
10,16A-2,,,,,230940,,전격,섬멸전,,하드 스테이지
10,17,22100,,전격,,230960,,전격,,,
10,18,22120,,전격,,230980,,전격,,,
10,19,22590,,전격,,234100,,전격,,○,
10,EX스테이지,100레벨 고정,오벨리스크,작열,EX보스전,270레벨 고정,오벨리스크,작열,EX보스전,,
10,20,22660,,전격,,234120,,전격,,,
10,21,22680,,전격,,234140,,전격,,,
10,22,23430,,전격,,240600,,전격,,,
10,23,23450,,전격,,240620,,전격,,,
10,24,23460,,전격,,240640,,전격,,,
10,25,23480,두리안,전격,보스전,252600,두리안,전격,보스전,○,
11,1,23830,,작열,,252620,,작열,,○,
11,2,23850,,작열,,252640,,작열,,,
11,3,26090,,작열,,253600,,작열,,,
11,4,26110,,작열,,253620,,작열,,,
11,5,26120,,작열,,253640,,작열,,,
11,6,26140,,작열,,254600,,작열,,○,
11,7,26160,,작열,,254620,,작열,,,
11,8,26180,,작열,,254640,,작열,,,
11,9,27030,,작열,,260100,,작열,,○,
11,10,27040,,작열,,260120,,작열,,,
11,11,27060,,작열,,260140,,작열,,,
11,12,27080,,작열,,270900,,작열,,,
11,EX스테이지,110레벨 고정,빅마우스,철갑,EX보스전,285레벨 고정,듀얼 링,철갑,EX보스전,,11-15 클리어 이후 접근 가능
11,13,27180,,작열,,270920,,작열,,,스페셜 아레나 개방
11,14,27200,,작열,,270940,,작열,,,
11,15,27960,,작열,,272900,,작열,,○,
11,16,27980,,작열,,272920,,작열,,,
11,17,27990,,작열,,272940,,작열,,,
11,18,28010,,작열,,275200,,작열,,,
11,19,28030,,작열,,275220,,작열,,,
11,20,28050,,작열,,275240,,작열,,,
11,21,28640,,작열,,277200,,작열,,○,
11,EX스테이지,110레벨 고정,듀얼 링,철갑,EX보스전,285레벨 고정,빅마우스,철갑,EX보스전,,
11,22,28660,,작열,,277220,,작열,,,
11,23,28670,,작열,,277240,,작열,,,
11,24,28690,,작열,,284800,,작열,,,
11,25,28710,,작열,,284820,,작열,,,
11,26,28730,,작열,,284840,,작열,,,
11,27,28740,하베스터,수냉,보스전,285800,하베스터,수냉,보스전,○,
12,1,29100,,작열,,285820,,작열,,○,
12,2,29110,,작열,,285840,,작열,,,
12,3,29560,,작열,,287800,,작열,,,
12,4,29580,,작열,,287820,,작열,,,
12,5,29600,,작열,,287840,,작열,,,
12,6,30040,,작열,,290000,,작열,,○,
12,7,30300,,작열,,290020,,작열,,,
12,8,30320,,작열,,290040,,작열,,,
12,9,30770,,작열,,301200,,작열,,,
12,10,30780,,작열,,301220,,작열,,,
12,11,30800,,작열,,301240,,작열,,,
12,12,31250,,작열,,303700,,작열,,○,
12,13,31260,,작열,,303720,,작열,,,
12,14,31280,,작열,,303740,,작열,,,
12,15,31730,,작열,,311700,,작열,,○,
12,15A-1,31800,,작열,저지전,311720,,작열,저지전,,
12,15A-2,31820,,작열,저지전,311740,,작열,저지전,,
12,15B-1,31830,,작열,거점방어전,311760,,작열,거점방어전,,
12,15B-2,31850,,작열,거점방어전,311780,,작열,거점방어전,,
12,16,31870,,작열,,311800,,작열,,,
12,17,31880,,작열,,311820,,작열,,,
12,18,32330,,작열,,314000,,작열,,○,
12,EX스테이지,120레벨 고정,,수냉,EX거점방어전,300레벨 고정,,수냉,EX저지전,,
12,19,32350,,작열,,314020,,작열,,,
12,20,32370,,작열,,314040,,작열,,,
12,21,32810,,작열,,316500,,작열,,○,
12,EX스테이지,120레벨 고정,쿠쿰버,수냉,EX보스전,300레벨 고정,쿠쿰버,수냉,EX보스전,,
12,22,32830,,작열,,316520,,작열,,,
12,23,32850,,작열,,316540,,작열,,,
12,24,33540,마테리얼H,철갑,보스전,317700,마테리얼H,철갑,보스전,○,
13,1,33940,,풍압,,317720,,풍압,,○,
13,2,33960,,풍압,,317740,,풍압,,,
13,3,34440,,풍압,,317760,,풍압,,,
13,3A-1,34460,,풍압,거점방어전,317780,,풍압,거점방어전,,
13,3B-1,34470,,풍압,저지전,317800,,풍압,저지전,,
13,4,34490,,풍압,,317820,,풍압,,,
13,5,34510,,풍압,,317840,,풍압,,,
13,6,34990,,풍압,,320000,,풍압,,○,
13,7,35000,,풍압,,320020,,풍압,,,
13,8,35020,,풍압,,320040,,풍압,,,
13,9,35500,,풍압,,332000,,풍압,,○,
13,10,35520,,풍압,,332020,,풍압,,,
13,11,35530,,풍압,,332040,,풍압,,,
13,12,36010,,풍압,,336900,,풍압,,○,
13,13,36030,,풍압,,336920,,풍압,,,
13,14,36050,,풍압,,336940,,풍압,,,
13,15,36530,알트아이젠,수냉,보스전,339400,알트아이젠,수냉,보스전,○,
13,16,36580,,풍압,,339420,,풍압,,,
13,17,36600,,풍압,,339440,,풍압,,,
13,18,37070,토커티브,작열,보스전,352200,토커티브,작열,보스전,○,
13,EX스테이지,130레벨 고정,스푸키,풍압,EX보스전,315레벨 고정,하베스터,수냉,EX보스전,,
13,18A-1,37090,,풍압,저지전,352220,,풍압,저지전,,
13,18A-2,37110,,풍압,저지전,352240,,풍압,저지전,,
13,18B-1,37130,,풍압,거점방어전,352260,,풍압,거점방어전,,
13,19,37140,,풍압,,352280,,풍압,,,
13,20,37160,,풍압,,352300,,풍압,,,
13,21,37640,,풍압,,354600,,풍압,,○,
13,22,37710,,풍압,,354620,,풍압,,,
13,EX스테이지,130레벨 고정,케투스,작열,EX보스전,315레벨 고정,스푸키,풍압,EX보스전,,
13,23,37730,,풍압,,354640,,풍압,,,
13,24,38280,모더니아,풍압,보스전,358200,모더니아,풍압,보스전,○,
14,1,38760,,풍압,,358220,,풍압,,○,
14,2,38800,,풍압,,358240,,풍압,,,
14,3,39290,,풍압,,365600,,풍압,,,
14,4,39330,,풍압,,366800,,풍압,,,
14,5,39380,,풍압,,366820,,풍압,,,
14,6,39420,,풍압,,366840,,풍압,,,
14,6A-1,39460,,풍압,저지전,366860,,풍압,저지전,,
14,6B-1,39510,,풍압,거점방어전,366880,,풍압,거점방어전,,
14,7,39600,,풍압,,366900,,풍압,,,
14,8,39680,,풍압,,366920,,풍압,,,
14,9,40170,,풍압,,369100,,풍압,,○,
14,10,40260,,풍압,,369120,,풍압,,,
14,11,40340,,풍압,,369140,,풍압,,,
14,12,40830,,풍압,,371600,,풍압,,○,
14,12A-1,40950,,풍압,거점방어전,371620,,풍압,거점방어전,,
14,12A-2,41040,,풍압,거점방어전,371640,,풍압,거점방어전,,
14,12B-1,41130,,풍압,저지전,371660,,풍압,저지전,,
14,13,41210,,풍압,,371680,,풍압,,,
14,14,41300,,풍압,,371700,,풍압,,,
14,15,41790,,풍압,,377000,,풍압,,○,
14,16,41870,,풍압,,377020,,풍압,,,
14,17,41960,,풍압,,377040,,풍압,,,
14,18,42450,,풍압,,377060,,풍압,,○,
14,19,42530,,풍압,,377080,,풍압,,,
14,20,42620,,풍압,,377100,,풍압,,,
14,21,43110,,풍압,,379300,,풍압,,,
14,EX스테이지,140레벨 고정,,풍압,EX섬멸전,330레벨 고정,,작열,EX저지전,,
14,22,43250,,풍압,,379320,,풍압,,,
14,23,43340,,풍압,,379340,,풍압,,,
14,24,43860,,풍압,,381800,,풍압,,○,
14,25,43950,,풍압,,381820,,풍압,,,
14,26,44040,,풍압,,381840,,풍압,,,
14,27,44570,,풍압,,390400,,풍압,,,
14,EX스테이지,140레벨 고정,툼스톤,풍압,EX보스전,330레벨 고정,케투스,작열,EX보스전,,
14,28,44660,,풍압,,390420,,풍압,,,
14,29,44740,,풍압,,390440,,풍압,,,
14,30,45400,선바스,전격,보스전,403700,선바스,전격,보스전,○,
15,1,46050,,수냉,,403720,,수냉,,○,
15,2,46190,,수냉,,403740,,수냉,,,
15,3,46720,,수냉,,403760,,수냉,,,
15,4,46850,,수냉,,403780,,수냉,,○,
15,5,46990,,수냉,,403800,,수냉,,,
15,6,47520,,수냉,,406300,,수냉,,,
15,7,47650,,수냉,,406320,,수냉,,,
15,8,47790,,수냉,,406340,,수냉,,,
15,9,47920,,수냉,,406360,,수냉,,○,
15,EX스테이지,160레벨 고정,스카프,작열,EX보스전,345레벨 고정,스카프,작열,EX보스전,,
15,10,48110,,수냉,,406380,,수냉,,,
15,11,48240,,수냉,,406400,,수냉,,,
15,12,48780,,수냉,,409100,,수냉,,,
15,12A-1,48910,,수냉,저지전,409120,,수냉,저지전,,
15,12A-2,49040,,수냉,저지전,409140,,수냉,저지전,,
15,12B-1,49180,,수냉,거점방어전,409160,,수냉,거점방어전,,
15,13,49310,,수냉,,409180,,수냉,,,
15,14,49440,,수냉,,409200,,수냉,,,
15,15,49980,,수냉,,411700,,수냉,,○,
15,16,50150,,수냉,,411720,,수냉,,,
15,17,50280,,수냉,,411740,,수냉,,,
15,18,50810,,수냉,,414300,,수냉,,,
15,18A-1,50950,,수냉,거점방어전,414320,,수냉,거점방어전,,
15,19,51130,,수냉,,414340,,수냉,,,
15,20,51300,,수냉,,414360,,수냉,,,
15,21,51930,,수냉,,416900,,수냉,,,
15,21A-1,52100,,수냉,저지전,416920,,수냉,저지전,,
15,21B-1,52280,,수냉,거점방어전,416940,,수냉,거점방어전,,
15,21B-2,52460,,수냉,거점방어전,416960,,수냉,거점방어전,,
15,22,52640,,수냉,,416980,,수냉,,,
15,23,52820,,수냉,,417000,,수냉,,,
15,24,53440,,수냉,,424600,,수냉,,○,
15,EX스테이지,160레벨 고정,타이피스,작열,EX보스전,345레벨 고정,타이피스,작열,EX보스전,,
15,25,53620,,수냉,,424620,,수냉,,,
15,26,53800,,수냉,,424640,,수냉,,,
15,27,54420,,수냉,,427200,,수냉,,○,
15,28,54600,,수냉,,427220,,수냉,,,
15,29,54770,,수냉,,427240,,수냉,,,
15,30,55440,레이턴스,풍압,보스전,433300,레이턴스,풍압,보스전,○,
16,1,56200,,수냉,,433320,,수냉,,○,
16,2,56340,,수냉,,433340,,수냉,,○,
16,3,56880,,수냉,,433360,,수냉,,○,
16,4,57010,,수냉,,433380,,수냉,,,
16,5,57150,,수냉,,433400,,수냉,,,
16,6,57280,,수냉,,433420,,수냉,,,
16,7,57820,,수냉,,435900,,수냉,,○,
16,8,58010,,수냉,,435920,,수냉,,,
16,8A-1,58230,,수냉,저지전,435940,,수냉,저지전,,
16,8B-1,58460,,수냉,거점방어전,435960,,수냉,거점방어전,,
16,8B-2,58680,,수냉,거점방어전,435980,,수냉,거점방어전,,
16,9,58910,,수냉,,436000,,수냉,,,
16,10,59130,,수냉,,436020,,수냉,,,
16,11,59670,,수냉,,438700,,수냉,,○,
16,EX스테이지,170레벨 고정,랜드이터,전격,EX보스전,360레벨 고정,,수냉,EX섬멸전,,
16,12,59900,,수냉,,438720,,수냉,,○,
16,13,60120,,수냉,,438740,,수냉,,,
16,14,60750,,수냉,,455200,,수냉,,○,
16,15,60980,,수냉,,455220,,수냉,,,
16,16,61200,,수냉,,455240,,수냉,,,
16,17,61830,,수냉,,457900,,수냉,,○,
16,EX스테이지,170레벨 고정,닥터,철갑,EX보스전,360레벨 고정,닥터,철갑,EX보스전,,
16,17A-1,62110,,수냉,거점방어전,457920,,수냉,거점방어전,,
16,17B-1,62340,,수냉,저지전,457940,,수냉,저지전,,
16,18,62560,,수냉,,457960,,수냉,,,
16,19,63190,,수냉,,466700,,수냉,,○,
16,20,63420,,수냉,,466720,,수냉,,○,
16,21,63640,,수냉,,466740,,수냉,,,
16,22,64270,,수냉,,468000,,수냉,,○,
16,23,64500,,수냉,,468020,,수냉,,,
16,24,64720,,수냉,,468040,,수냉,,,
16,25,65350,,수냉,,470800,,수냉,,○,
16,26,65580,,수냉,,470820,,수냉,,,
16,27,65800,,수냉,,470840,,수냉,,,
16,28,66600,케투스,작열,보스전,473400,케투스,작열,보스전,○,특수 개체 요격전 개방
17,1,66740,,철갑,,473420,,철갑,,○,
17,2,66880,,철갑,,473440,,철갑,,,
17,3,67080,,철갑,,473460,,철갑,,,
17,4,67230,,철갑,,473480,,철갑,,,
17,5,67370,,철갑,,473500,,철갑,,,
17,6,67570,,철갑,,476000,,철갑,,○,
17,7,67720,,철갑,,476020,,철갑,,○,
17,8,67860,,철갑,,476040,,철갑,,,
17,9,68060,,철갑,,476060,,철갑,,,
17,10,68200,,철갑,,476080,,철갑,,,
17,11,68350,,철갑,,476100,,철갑,,,
17,12,68650,,철갑,,478600,,철갑,,○,
17,13,68880,,철갑,,478620,,철갑,,○,
17,14,69030,,철갑,,478640,,철갑,,,
17,15,69330,,철갑,,478660,,철갑,,,
17,15A-1,69470,,철갑,저지전,478680,,철갑,저지전,,
17,15B-1,69610,,철갑,거점방어전,478700,,철갑,거점방어전,,
17,15B-2,69760,,철갑,거점방어전,478720,,철갑,거점방어전,,
17,16,69980,,철갑,,478740,,철갑,,,
17,17,70210,,철갑,,478760,,철갑,,,
17,18,70510,,철갑,,479900,,철갑,,○,
17,EX스테이지,190레벨 고정,선바스,전격,EX보스전,360레벨 고정,두리안,전격,EX보스전,,
17,19,70810,,철갑,,487700,,철갑,,○,
17,20,71030,,철갑,,487720,,철갑,,,
17,21,71260,,철갑,,487740,,철갑,,,
17,21A-1,71480,,철갑,저지전,487760,,철갑,저지전,,
17,21A-2,71710,,철갑,저지전,487780,,철갑,저지전,,
17,22,71930,,철갑,,487800,,철갑,,,
17,23,72160,,철갑,,487820,,철갑,,,
17,24,72460,,철갑,,490300,,철갑,,○,
17,25,72680,,철갑,,490320,,철갑,,,
17,26,72910,,철갑,,490340,,철갑,,,
17,27,73210,,철갑,,508800,,철갑,,○,
17,28,73430,,철갑,,508820,,철갑,,○,
17,29,73660,,철갑,,508840,,철갑,,,
17,30,73960,,철갑,,511700,,철갑,,○,
17,EX스테이지,190레벨 고정,두리안,전격,EX보스전,360레벨 고정,선바스,전격,EX보스전,,
17,31,74180,,철갑,,511720,,철갑,,,
17,32,74410,,철갑,,511740,,철갑,,,
17,33,74810,시니스터,작열,보스전,516000,시니스터,작열,보스전,○,
18,1,75060,,철갑,,516000,,철갑,,○,
18,2,75220,,철갑,,516020,,철갑,,,
18,3,75940,,철갑,,516040,,철갑,,○,
18,4,76100,,철갑,,516060,,철갑,,,
18,5,76260,,철갑,,516080,,철갑,,,
18,6,76980,,철갑,,519100,,철갑,,○,
18,7,77140,,철갑,,519120,,철갑,,,
18,8,77310,,철갑,,519140,,철갑,,,
18,9,78030,,철갑,,519160,,철갑,,○,
18,10,78190,,철갑,,519180,,철갑,,,
18,11,78350,,철갑,,519200,,철갑,,,
18,12,79070,,철갑,,522000,,철갑,,○,
18,EX스테이지,200레벨 고정,,풍압,EX거점방어전,380레벨 고정,레이턴스,풍압,EX보스전,,
18,13,79230,,철갑,,522020,,철갑,,,
18,14,79390,,철갑,,522040,,철갑,,,
18,15,80110,,철갑,,522060,,철갑,,○,
18,15A-1,80280,,철갑,거점방어전,522080,,철갑,거점방어전,,
